                                                                                                  202.21
                              Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 20.12.2017

                                       Ульяновская область

Регистр.                   Название                 Тип объекта        Географические            Номенкл.
 номер              географического объекта                              координаты                 листа
                                                                                                    карты
                                                                    Широта          Долгота      масштаба
                                                                                                 1 :100 000
   1                           2                          3                     4                     5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 3


0013196    Димитровград                            город обл.      54°13'с.ш.       49°38'в.д.   N-39-064
                                                   знач.

0030724    Новоульяновск                           город обл.      54°09'с.ш.       48°23'в.д.   N-39-061
                                                   знач.

0013172    Ульяновск                               город обл.      54°19'с.ш.       48°24'в.д.   N-39-061
                                                   знач.




                                    Базарносызганский район
0030940   Большое Шуватово        село          54°09'с.ш.       46°14'в.д.   N-38-069
0031161   Борисова Поляна         деревня       53°46'с.ш.       46°34'в.д.   N-38-082
0030960   Бояркино                село          53°46'с.ш.       46°25'в.д.   N-38-081
0030987   Валгуссы                село          54°04'с.ш.       46°12'в.д.   N-38-069
0777747   Вырыпаевка              деревня       53°50'с.ш.       46°33'в.д.   N-38-082
0030517   Вырыпаевка              рзд.(нп)      53°48'с.ш.       46°31'в.д.   N-38-082
0031159   Вязовка                 деревня       53°47'с.ш.       46°33'в.д.   N-38-082
0031167   Глотовка                раб.посёлок   53°57'с.ш.       46°42'в.д.   N-38-082
0031181   Городищи                село          54°00'с.ш.       46°09'в.д.   N-38-081
0031168   Дмитриевка              деревня       53°46'с.ш.       46°19'в.д.   N-38-081
0030994   Дракино                 село          54°11'с.ш.       46°28'в.д.   N-38-069
0030965   Дубенки                 рзд.(нп)      53°51'с.ш.       46°26'в.д.   N-38-081
0751942   Дубенки                 деревня       53°51'с.ш.       46°26'в.д.   N-38-081
0030963   Дубровка                посёлок       53°57'с.ш.       46°27'в.д.   N-38-081
0031160   Екатериновка            деревня       53°52'с.ш.       46°12'в.д.   N-38-081
0030962   Елизаветинка            посёлок       53°58'с.ш.       46°30'в.д.   N-38-082
0030999   Забалуйка               село          53°52'с.ш.       46°15'в.д.   N-38-081
0031000   Ильинский Колдаис       деревня       53°48'с.ш.       46°19'в.д.   N-38-081
0013202   Инза                    город         53°51'с.ш.       46°21'в.д.   N-38-081
0693546   Кеньша                  деревня       53°40'с.ш.       46°28'в.д.   N-38-093
0030961   Коноплянка              село          54°04'с.ш.       46°28'в.д.   N-38-069
0030958   Коржевка                село          54°11'с.ш.       46°23'в.д.   N-38-069
0030995   Лесничества             посёлок       53°53'с.ш.       46°15'в.д.   N-38-081
0031165   Малая Борисовка         село          53°41'с.ш.       46°29'в.д.   N-38-081
0031054   Малое Шуватово          село          54°10'с.ш.       46°16'в.д.   N-38-069
0031028   Малые Озимки            деревня       53°49'с.ш.       46°31'в.д.   N-38-082
0031170   Мамырово                село          54°05'с.ш.       46°03'в.д.   N-38-069
0030511   Междуречье              деревня       53°48'с.ш.       46°25'в.д.   N-38-081
0031171   Налитово                деревня       54°02'с.ш.       46°07'в.д.   N-38-069
0031003   Неклюдово               село          53°52'с.ш.       46°42'в.д.   N-38-082
0031158   Неклюдовский            посёлок       53°54'с.ш.       46°42'в.д.   N-38-082
0031026   Новосурск               село          54°14'с.ш.       46°28'в.д.   N-38-069
