                                                                                            202.21
                               Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 13.12.2018

                                        Орловская область

Регистр.                   Название                Тип объекта       Географические        Номенкл.
 номер              географического объекта                            координаты             листа
                                                                                              карты
                                                                   Широта       Долгота    масштаба
                                                                                           1 :100 000
   1                           2                          3                 4                   5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 3


0010410    Ливны                                   город           52°26'        37°37'    N-37-124
                                                   обл.подч.

0064333    Мценск                                  город           53°17'        36°34'    N-37-098
                                                   обл.подч.

0010427    Орел                                    город           52°58'        36°07'    N-37-109
                                                   обл.подч.




                                         Болховский район
0064252   Плоская                 деревня    53°30'       35°51'     N-36-096
0291042   Покровский Спиртзавод   посёлок    53°24'       36°10'     N-37-085
0291041   Покровское              село       53°23'       36°11'     N-37-085
0291088   Пробуждение             посёлок    53°34'       35°58'     N-36-096
0290999   Просвет                 посёлок    53°16'       36°04'     N-37-097
0291040   Равнина                 посёлок    53°25'       36°05'     N-37-085
0063810   Репнино                 село       53°31'       36°09'     N-37-085
0291009   Рог                     деревня    53°29'       35°59'     N-36-096
0291016   Рогозина                деревня    53°34'       35°55'     N-36-096
0062851   Рожкова                 деревня    53°22'       35°52'     N-36-096

                                                      Стр. 4 из 70
   1                        2          3            4                 5

0063765   Руднево               село       53°23'       35°49'     N-36-096
0290969   Рыбинский             посёлок    53°27'       35°44'     N-36-096
0064012   Рылова                деревня    53°27'       35°47'     N-36-096
0290959   Ряплово               посёлок    53°30'       36°05'     N-37-085
0303921   Самарка               деревня    53°17'       36°03'     N-37-097
0291074   Светлая Заря          посёлок    53°28'       35°53'     N-36-096
0290968   Свистова              деревня    53°27'       35°46'     N-36-096
0291025   Селеменева            деревня    53°23'       35°53'     N-36-096
0064212   Середичи              село       53°34'       35°51'     N-36-096
0290958   Сивкова               деревня    53°32'       36°05'     N-37-085
0291064   Сивкова               деревня    53°28'       36°19'     N-37-085
0291087   Сиголаева             деревня    53°36'       35°54'     N-36-096
0291038   Сидоровка             деревня    53°23'       36°11'     N-37-085
0290953   Скородумка            деревня    53°21'       35°54'     N-36-096
0291096   Скупшинина            деревня    53°29'       35°59'     N-36-096
0290957   Слободка              посёлок    53°28'       36°07'     N-37-085
0063681   Снегирева             деревня    53°35'       35°54'     N-36-096
0291000   Сомова                деревня    53°16'       36°05'     N-37-097
0291039   Спешнево              село       53°27'       36°06'     N-37-085
0290978   Становой              посёлок    53°21'       36°03'     N-37-085
0291001   Старица               посёлок    53°19'       36°01'     N-37-097
0063591   Старый Синец          село       53°20'       36°05'     N-37-085
0063687   Струково              село       53°27'       35°55'     N-36-096
0291026   Струковский 1-й       посёлок    53°24'       35°54'     N-36-096
0064266   Сурьянино             деревня    53°24'       35°51'     N-36-096
0291269   Сухачева              деревня    53°23'       35°54'     N-36-096
0291024   Сухочева              деревня    53°23'       35°55'     N-36-096
0291003   Татаренкова           деревня    53°17'       36°10'     N-37-097
0079165   Татинки               деревня    53°15'       36°04'     N-37-097
0291037   Тимонова              деревня    53°24'       36°08'     N-37-085
0291004   Топкий Ржавец         посёлок    53°15'       36°06'     N-37-097
0291066   Тросна                деревня    53°29'       36°16'     N-37-085
0291002   Трубчева              деревня    53°19'       36°07'     N-37-097
0291086   Уланова               деревня    53°36'       35°58'     N-36-096
0291008   Успенский             посёлок    53°27'       35°58'     N-36-096
0291023   Уткин                 посёлок    53°24'       35°54'     N-36-096
0290956   Ушакова               деревня    53°33'       36°03'     N-37-085
0062984   Фатнево               село       53°29'       36°14'     N-37-085
0291005   Федосеевка            деревня    53°19'       36°02'     N-37-097
0291006   Федосеевский          посёлок    53°17'       36°01'     N-37-097
0290977   Филипповский          посёлок    53°21'       36°04'     N-37-085
0291068   Хмелевая              деревня    53°29'       36°15'     N-37-085
0291095   Хожайнова             деревня    53°30'       35°58'     N-36-096
0291067   Хомякова              деревня    53°30'       36°12'     N-37-085
0064047   Хотетово              село       53°28'       35°57'     N-36-096

                                                    Стр. 5 из 70
   1                         2                      3                4                 5

0291094   Хохолева                          деревня         53°29'       35°56'     N-36-096
0291017   Хутор                             деревня         53°33'       35°52'     N-36-096
0291093   Цветочная Балка                   посёлок         53°30'       36°01'     N-37-085
0291022   Цимбулова                         деревня         53°21'       35°48'     N-36-096
0291069   Чаплыгина                         деревня         53°28'       36°12'     N-37-085
0291070   Чегодаево                         село            53°28'       36°19'     N-37-085
0291085   Чекряк                            посёлок         53°34'       35°57'     N-36-096
0064136   Черногрязка                       деревня         53°23'       36°04'     N-37-085
0291073   Чернь-Пальчиково                  село            53°28'       35°52'     N-36-096
0291103   Чертовая                          деревня         53°31'       35°58'     N-36-096
0291072   Шарихина                          деревня         53°27'       35°53'     N-36-096
0291021   Шемякина                          деревня         53°24'       35°51'     N-36-096
0291084   Шпилева                           деревня         53°37'       35°55'     N-36-096
0063027   Шумово                            село            53°30'       35°55'     N-36-096
0064134   Щербово                           село            53°32'       36°04'     N-37-085
0063012   Щербовский                        посёлок         53°32'       36°04'     N-37-085
0291018   Щигровский 1-й                    посёлок         53°24'       35°56'     N-36-096
0291019   Щигровский 2-й                    посёлок         53°25'       35°55'     N-36-096
0291020   Щигры                             деревня         53°25'       35°55'     N-36-096
0064274   Ямские Выселки                    слобода         53°28'       36°02'     N-37-085
0291036   Ясная Поляна                      посёлок         53°22'       36°07'     N-37-085




                                 Верховский район
                                 количество записей - 131


0291372   Алексеевка                        деревня         52°45'       37°14'     N-37-111
0291337   Алексеевка                        деревня         52°38'       37°22'     N-37-123
0291332   Архангельский                     хутор           52°40'       37°21'     N-37-123
0291354   Березовец                         деревня         52°33'       37°26'     N-37-123
0291330   Бобровка                          деревня         52°40'       37°22'     N-37-123
0291355   Большая Гурьевка                  деревня         52°37'       37°25'     N-37-123
0291331   Большая Дорога                    деревня         52°40'       37°19'     N-37-123
0291353   Большая Дорога                    посёлок         52°37'       37°20'     N-37-123
0064270   Большой Синковец                  деревня         52°41'       37°13'     N-37-111
0291352   Борки                             посёлок         52°36'       37°22'     N-37-123
0291376   Булгаровка                        посёлок         52°30'       37°18'     N-37-123
0063937   Васильевка                        село            52°45'       37°17'     N-37-111
0291458   Васильевский                      посёлок         52°45'       37°18'     N-37-111
0291459   Верхнее Жилино                    деревня         52°42'       37°20'     N-37-111
0291324   Верхне-Залегощенский              посёлок         52°45'       36°57'     N-37-110
0063922   Верхняя Залегощь                  село            52°48'       36°59'     N-37-110
0010373   Верховье                          пгт             52°49'       37°15'     N-37-111
0487278   Верховье                          деревня         52°49'       37°18'     N-37-111
0291340   Ворогушино                        деревня         52°53'       37°08'     N-37-111

                                                                     Стр. 6 из 70
   1                        2          3            4                 5

0063066   Галичье               село       52°50'       37°16'     N-37-111
0291323   Глинка                деревня    52°41'       36°59'     N-37-110
0291457   Головинка             посёлок    52°42'       37°23'     N-37-111
0291329   Головище              посёлок    52°40'       37°20'     N-37-123
0291456   Грачевка              посёлок    52°44'       37°17'     N-37-111
0291371   Грязное               деревня    52°47'       37°12'     N-37-111
0062917   Даменка               деревня    52°46'       37°07'     N-37-111
