                                                     Реестр зарегистрированных в АГКГН                                               201.21

                                               географических названий объектов на 28.01.2019
                                                              Липецкая область
                                                               Количество записей - 2025

Регистр.                    Название                        Тип объекта              Административно-   Географические координаты Номенкл.
 номер               географического объекта                                         территориальная                                листа
                                                                                                           Широта        Долгота
                                                                                      (муниципальная)                               карты
                                                                                          привязка           Привязка к другим    масштаба
                                                                                                         географическим объектам 1 : 100 000

   1                            2                                3                            4                    5                  6
0078643   Березовка             село            Тербунский район           52°01'            38°19'     N-37-137

0078450   Березовка             село            Данковский район           53°26'            38°53'     N-37-090

0079515   Березовские Выселки   деревня         Данковский район           53°21'            39°02'     N-37-091

0809177   Березовский           сельсовет       Тербунский район           52°01'            38°19'     N-37-137

0808985   Березовский           сельсовет       Данковский район           53°26'            38°53'     N-37-090

0079638   Бехтеевка             деревня         Задонский район            52°32'            38°53'     N-37-126

0079550   Бехтеевка             деревня         Задонский район            52°09'            38°45'     N-37-138

0079520   Бибиково              деревня         Данковский район           53°26'            38°59'     N-37-090

0078466   Бибиково              деревня         Лебедянский район          53°07'            38°43'     N-37-102

0078477   Бигильдино            село            Данковский район           53°21'            39°08'     N-37-091

0808986   Бигильдинский         сельсовет       Данковский район           53°21'            39°08'     N-37-091

0007292   Битюг                 река                                       50°38'            39°55'     M-37-056
                                                                       левый приток р. Дон
0079551   Благодатное           деревня         Хлевенский район           52°05'            38°59'     N-37-138

0079559   Благодать             деревня         Добринский район           52°14'            40°21'     N-37-141

0079577   Бобыли                деревня         Лебедянский район          52°58'            39°15'     N-37-115

0078948   Богатые Плоты         деревня         Долгоруковский район       52°20'            38°14'     N-37-125

0079544   Богатые Плоты         деревня         Тербунский район           52°12'            38°13'     N-37-137

0561372   Богданова             деревня         Воловский район            52°03'            37°57'     N-37-136

0809005   Богородицкий          сельсовет       Добринский район           52°14'            40°21'     N-37-141

0078914   Богородицкое          село            Добровский район           52°49'            39°47'     N-37-116

0078545   Богородицкое          село            Добринский район           52°16'            40°21'     N-37-141

0078608   Болховское            село            Задонский район            52°25'            38°52'     N-37-126

0809070   Болховской            сельсовет       Задонский район            52°25'            38°52'     N-37-126

                                                                                         Стр. 6 из 82
   1                          2               3                    4                      5                     6
0079656   Большая Александровка   деревня         Елецкий район               52°30'              38°24'     N-37-125

0078626   Большая Боевка          село            Долгоруковский район        52°23'              38°33'     N-37-126

0079535   Большая Вершина         деревня         Воловский район             52°08'              37°56'     N-37-136

0079405   Большая Ивановка        село            Воловский район            52°08.9'             38°00.9'   N-37-137

0078533   Большая Карповка        село            Лев-Толстовский район       53°18'              39°31'     N-37-104

0079461   Большая Кузьминка       село            Липецкий район              52°45'              39°44'     N-37-116

0079566   Большая Отрада          село            Добринский район            52°20'              40°22'     N-37-129

0079391   Большая Плавица         деревня         Добринский район           52°12.9'             40°21.5'   N-37-141

0079113   Большая Поляна          село            Тербунский район            52°08'              38°41'     N-37-138

0063290   Большая Чернава         река                                        52°28'              38°03'     N-37-125
                                                                          левый приток р. Сосна
0809041   Большебоевский          сельсовет       Долгоруковский район        52°23'              38°33'     N-37-126

0808951   Большеивановский        сельсовет       Воловский район            52°08.9'             38°00.9'   N-37-137

0809111   Большеизбищенский       сельсовет       Лебедянский район           52°58'              39°23'     N-37-115

0809056   Большеизвальский        сельсовет       Елецкий район               52°33'              38°45'     N-37-126

0809138   Большекузьминский       сельсовет       Липецкий район              52°45'              39°44'     N-37-116

0809178   Большеполянский         сельсовет       Тербунский район            52°08'              38°41'     N-37-138

0809112   Большепоповский         сельсовет       Лебедянский район           52°55'              39°04'     N-37-115

0808966   Большесамовецкий        сельсовет       Грязинский район            52°32'              39°57'     N-37-128

0809024   Больше-Хомутецкий       сельсовет       Добровский район            52°47'              39°52'     N-37-116

0079595   Большие Бутырки         деревня         Становлянский район         52°57'              37°57'     N-37-112

0079581   Большие Выселки         деревня         Становлянский район         52°57'              38°24'     N-37-113

0079143   Большие Избищи          село            Лебедянский район           52°58'              39°23'     N-37-115

0078627   Большие Извалы          село            Елецкий район               52°33'              38°45'     N-37-126

0078541   Большие Отрожки         деревня         Добринский район            52°06'              40°19'     N-37-141

0079223   Большие Хомяки          село            Добровский район            52°59'              39°31'     N-37-116

                                                                                            Стр. 7 из 82
   1                         2               3                     4                    5                     6
0078951   Большовка              деревня         Воловский район            52°01'                38°06'   N-37-137

0079616   Большовские Выселки    деревня         Воловский район            51°56'                37°59'   M-37-004

0808952   Большовский            сельсовет       Воловский район            51°59'                37°54'   M-37-004

0078592   Большое Панарино       деревня         Задонский район            52°23'                38°54'   N-37-126

0079341   Большое Петелино       деревня         Чаплыгинский район         53°15'                39°56'   N-37-104

0079457   Большое Попово         село            Лебедянский район          52°55'                39°04'   N-37-115

0078472   Большой Верх           деревня         Лебедянский район          53°06'                38°45'   N-37-102

0078950   Большой Колодезь       деревня         Долгоруковский район       52°14'                38°28'   N-37-137

0079508   Большой Лотошок        деревня         Становлянский район        53°02'                38°06'   N-37-101

0079553   Большой Мечек          деревня         Хлевенский район           52°16'                39°20'   N-37-139

0079496   Большой Ручей          река                                       52°02'                38°05'   N-37-137
                                                                        левый приток р. Олым
0078788   Большой Самовец        село            Грязинский район           52°32'                39°57'   N-37-128

0078582   Большой Снежеток       село            Чаплыгинский район         53°13'                40°04'   N-37-105

0079226   Большой Хомутец        село            Добровский район           52°47'                39°52'   N-37-116

0809139   Боринский              сельсовет       Липецкий район             52°27'                39°22'   N-37-127

0078680   Боринское              село            Липецкий район             52°27'                39°22'   N-37-127

0079428   Борисовка              село            Добровский район           52°50'                39°59'   N-37-116

0809025   Борисовский            сельсовет       Добровский район           52°50'                39°59'   N-37-116

0079404   Борки                  село            Тербунский район           52°09'                38°06'   N-37-137

0079641   Борки                  деревня         Задонский район            52°24'                38°43'   N-37-126

0809179   Борковский             сельсовет       Тербунский район           52°09'                38°06'   N-37-137

0079073   Боровица               река                                       52°12'                39°23'   N-37-139
                                                                        левый приток р. Воронеж
0079014   Боровое                село            Усманский район            52°12'                39°30'   N-37-140

0078652   Боровское              село            Добринский район           52°10'                40°22'   N-37-141

0809196   Боровской              сельсовет       Усманский район            52°12'                39°30'   N-37-140

                                                                                         Стр. 8 из 82
   1                         2                   3                    4                     5                   6
0079512   Борщевка                   деревня         Чаплыгинский район         53°32'            39°45'     N-37-092

0079511   Борщевка Государственная   деревня         Чаплыгинский район         53°34'            39°45'     N-37-092

0079554   Бочиновка                  деревня         Усманский район            52°05'            39°45'     N-37-140

0290195   Бражниковские Выселки      урочище                                    52°39'            37°49'     N-37-124
                                                                            севернее устья р.Малая Чернава
0078560   Братовка                   село            Чаплыгинский район         53°21'            39°58'     N-37-092

0809234   Братовский                 сельсовет       Чаплыгинский район         53°21'            39°58'     N-37-092

0079432   Братовщина                 село            Долгоруковский район       52°18'            38°20'     N-37-137

0079605   Бревенное                  село            Данковский район           53°19'            39°01'     N-37-103

0079565   Бредихино                  деревня         Добринский район           52°01'            40°20'     N-37-141

0078894   Бредихино                  деревня         Краснинский район          52°52'            38°50'     N-37-114

0079670   Бредихино                  село            Краснинский район          52°50'            38°51'     N-37-114

0079617   Бредихины Отруба           деревня         Добринский район           51°59'            40°20'     M-37-009

0079018   Бреславка                  село            Усманский район            52°13'            39°56'     N-37-140

0809197   Бреславский                сельсовет       Усманский район            52°13'            39°56'     N-37-140

0078852   Бродки                     деревня         Становлянский район        52°49'            38°28'     N-37-113

0079594   Брусенцево                 деревня         Становлянский район       52°55.5'          37°58.5'    N-37-112

0078679   Бруслановка                деревня         Липецкий район             52°36'            39°17'     N-37-127

0079622   Брусы                      деревня         Данковский район           53°13'            38°59'     N-37-102

0079572   Брянский                   посёлок         Добринский район           52°10'            40°32'     N-37-142

0079669   Брянцево                   деревня         Краснинский район          52°56'            38°48'     N-37-114

0079642   Буевка                     деревня         Елецкий район              52°35'            38°38'     N-37-126

0079547   Бунино                     деревня         Становлянский район        52°41'           38°20.1'    N-37-113

0079624   Буравцева                  деревня         Лебедянский район          53°05'            38°45'     N-37-102

0079103   Бурдино                    село            Тербунский район           52°08'            38°28'     N-37-137

0079654   Бурелом                    деревня         Долгоруковский район       52°20'            38°29'     N-37-125

                                                                                             Стр. 9 из 82
   1                          2               3                     4                     5                   6
0078502   Бутырки                 деревня         Чаплыгинский район          53°31'            39°54'     N-37-092

0078604   Бутырки                 село            Задонский район             52°33'            38°58'     N-37-126

0079423   Бутырки                 село            Грязинский район            52°41'            39°50'     N-37-116

0078853   Бутырки                 деревня         Становлянский район         52°48'            38°25'     N-37-113

0808967   Бутырский               сельсовет       Грязинский район            52°41'            39°50'     N-37-116

0809071   Бутырский               сельсовет       Задонский район             52°33'            38°58'     N-37-126

0079600   Буховка                 деревня         Чаплыгинский район          53°04'            39°56'     N-37-104

0078566   Буховое                 село            Чаплыгинский район          53°04'            39°58'     N-37-104

0079599   Буховские Выселки       хутор           Чаплыгинский район          53°08'            39°46'     N-37-104

0809235   Буховской               сельсовет       Чаплыгинский район          53°04'            39°58'     N-37-104

0079627   Бухолдино               хутор           Измалковский район          52°30'            38°05'     N-37-125

0078711   Быковка                 деревня         Елецкий район               52°32'            38°30'     N-37-126

0078698   Быково                  село            Измалковский район          52°31'            37°57'     N-37-124

0616878   Быстрик                 река                                        52°01'            38°56'     N-37-138
                                                                          левый приток р.Большая Верейка
0078503   Бычки                   деревня         Лев-Толстовский район       53°23'            39°46'     N-37-092

0079140   Варваринка              село            Липецкий район              52°47'            39°26'     N-37-115

0078678   Варваро-Борки           село            Липецкий район              52°37'            39°10'     N-37-127

0155351   Васильевка              село            Добринский район           52°12.9'          40°42.8'    N-37-142

0079668   Васильевка              деревня         Краснинский район           52°48'            38°41'     N-37-114

0079655   Васильевка              деревня         Измалковский район          52°35'            38°04'     N-37-125

0079653   Васильевка              деревня         Елецкий район               52°26'            38°29'     N-37-125

0079037   Васильевка              село            Усманский район             52°17'            39°57'     N-37-140

0078961   Васильевка              село            Воловский район             51°59'            38°02'     M-37-005

0078944   Васильевка              деревня         Тербунский район            52°07'            38°14'     N-37-137

0078517   Васильевка              деревня         Лебедянский район           53°01'            39°04'     N-37-103

                                                                                           Стр. 10 из 82
   1                           2               3                     4             5                  6
0078535   Васильевка               село            Измалковский район     52°46'       38°00'      N-37-113

0078677   Васильевка               село            Липецкий район         52°30'       39°14'      N-37-127

0079623   Васильевская Пустошь     деревня         Лебедянский район      53°02'       38°57'      N-37-102

0809140   Васильевский             сельсовет       Липецкий район         52°30'       39°14'      N-37-127

0809088   Васильевский             сельсовет       Измалковский район     52°46'       38°00'      N-37-113

0808953   Васильевский             сельсовет       Воловский район        51°59'       38°02'      M-37-005

0078913   Введенка                 село            Липецкий район         52°43'       39°41'      N-37-116

0079451   Введенка                 село            Хлевенский район       52°17'       39°04'      N-37-139

0809141   Введенский               сельсовет       Липецкий район         52°43'       39°41'      N-37-116

