                                                                                                 202.21
                             Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 20.12.2017

                                      Вологодская область

Регистр.                  Название                Тип объекта         Географические            Номенкл.
 номер             географического объекта                              координаты                 листа
                                                                                                   карты
                                                                   Широта          Долгота      масштаба
                                                                                                1 :100 000
   1                          2                           3                    4                     5

                       Населённые пункты, не относящиеся к районам
                                        количество записей - 4


                                                         Стр. 4 из 183
  1                       2         3                4                   5

0227744   Нижняя Ножема       посёлок   60°06'с.ш.       35°47'в.д.   P-36-144
0227745   Никитинская         деревня   60°15'с.ш.       35°41'в.д.   P-36-144
0035784   Никольское          деревня   59°37'с.ш.       36°17'в.д.   O-37-013
0033700   Никонова Гора       деревня   60°22'с.ш.       36°06'в.д.   P-37-121
0227037   Никоново            деревня   59°59'с.ш.       35°59'в.д.   O-36-012
0227038   Новая               деревня   59°59'с.ш.       35°59'в.д.   O-36-012
0033407   Новая Деревня       деревня   60°06'с.ш.       35°29'в.д.   P-36-143
0035393   Новая Старина       деревня   60°00'с.ш.       36°00'в.д.   P-37-145
0227743   Новинка             деревня   60°03'с.ш.       35°35'в.д.   P-36-144
0035531   Новинка             деревня   59°31'с.ш.       35°32'в.д.   O-36-024
0273964   Новинка             деревня   60°05'с.ш.       36°09'в.д.   P-37-133
0035752   Новое Лукино        деревня   59°53'с.ш.       36°08'в.д.   O-37-001
0244288   Новополье           деревня   59°38'с.ш.       36°24'в.д.   O-37-013
0273965   Новосерково         деревня   60°07'с.ш.       36°10'в.д.   P-37-133
0273966   Носково             деревня   60°09'с.ш.       36°11'в.д.   P-37-133
0242454   Овсянниково         деревня   59°46'с.ш.       36°01'в.д.   O-37-001
0035536   Огрызово            деревня   59°59'с.ш.       36°08'в.д.   O-37-001
0035616   Ольховик            деревня   59°21'с.ш.       36°18'в.д.   O-37-013
0035754   Пальцево            деревня   59°32'с.ш.       36°02'в.д.   O-37-013
0036109   Панкратово          деревня   60°18'с.ш.       36°20'в.д.   P-37-133
0242455   Папино              деревня   59°52'с.ш.       36°04'в.д.   O-37-001
0035997   Папино              деревня   59°12'с.ш.       36°12'в.д.   O-37-025
0227748   Парфеево            деревня   60°01'с.ш.       35°53'в.д.   P-36-144
0227160   Переходно           деревня   59°26'с.ш.       35°49'в.д.   O-36-024
0227747   Петраково           деревня   60°04'с.ш.       35°48'в.д.   P-36-144
0035580   Петраково           деревня   59°35'с.ш.       36°03'в.д.   O-37-013
0227039   Петрово             деревня   59°41'с.ш.       35°54'в.д.   O-36-012
0245782   Петряево            деревня   59°13'с.ш.       36°10'в.д.   O-37-025
0227161   Плаксино            деревня   59°31'с.ш.       35°41'в.д.   O-36-024
0035568   Плесо               деревня   59°47'с.ш.       35°44'в.д.   O-36-012
0276597   Плесо               посёлок   59°48'с.ш.       35°43'в.д.   O-36-012
0036651   Плоское             деревня   59°44'с.ш.       35°42'в.д.   O-36-012
0227770   Погорелая           деревня   60°15'с.ш.       35°40'в.д.   P-36-144
0273968   Подберезка          деревня   60°04'с.ш.       36°10'в.д.   P-37-133
0035731   Пожара              деревня   59°57'с.ш.       36°06'в.д.   O-37-001
0242456   Пожарища            деревня   59°48'с.ш.       36°05'в.д.   O-37-001
0035577   Пожарище            деревня   59°34'с.ш.       36°20'в.д.   O-37-013
0036934   Порошино            деревня   59°55'с.ш.       35°58'в.д.   O-36-012
0035538   Пустошка            деревня   59°49'с.ш.       36°06'в.д.   O-37-001
0273970   Пустошка            деревня   60°15'с.ш.       36°24'в.д.   P-37-133
0273969   Пустошка            деревня   60°10'с.ш.       36°10'в.д.   P-37-133
0033817   Пухтаево            деревня   60°02'с.ш.       35°39'в.д.   P-36-144
0033787   Пяжелка             посёлок   60°09'с.ш.       35°46'в.д.   P-36-144
0242457   Пячкалово           деревня   59°47'с.ш.       36°02'в.д.   O-37-001
0227749   Рагозино            деревня   60°03'с.ш.       35°34'в.д.   P-36-144

                                                     Стр. 5 из 183
  1                       2           3                   4                   5

0035338   Ракуново            деревня        60°01'с.ш.       36°24'в.д.   P-37-133
0035341   Савинская           деревня        60°09'с.ш.       36°11'в.д.   P-37-133
0036200   Санинская           деревня        59°37'с.ш.       36°04'в.д.   O-37-013
0273971   Саутино             деревня        60°05'с.ш.       36°20'в.д.   P-37-133
0244289   Седуново            деревня        59°36'с.ш.       36°01'в.д.   O-37-013
0036077   Селиверстово        деревня        59°12'с.ш.       36°16'в.д.   O-37-025
0036298   Семеновская         деревня        59°50'с.ш.       36°06'в.д.   O-37-001
0273972   Сергеево            деревня        60°06'с.ш.       36°19'в.д.   P-37-133
