                                                                                              202.21
                              Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 28.01.2019

                                         Липецкая область

Регистр.                   Название                 Тип объекта       Географические         Номенкл.
 номер              географического объекта                             координаты              листа
                                                                                                карты
                                                                   Широта         Долгота    масштаба
                                                                                             1 :100 000
   1                           2                          3                   4                   5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 2


0010389    Елец                                    город           52°37'          38°31'    N-37-126
                                                   обл.подч.

0010400    Липецк                                  город           52°37'          39°36'    N-37-128
                                                   обл.подч.




                                         Воловский район
                                         количество записей - 77


0079521   Бегичево                деревня     53°34'       38°54'     N-37-090
0078450   Березовка               село        53°26'       38°53'     N-37-090
0079515   Березовские Выселки     деревня     53°21'       39°02'     N-37-091
0079520   Бибиково                деревня     53°26'       38°59'     N-37-090
0078477   Бигильдино              село        53°21'       39°08'     N-37-091
0079605   Бревенное               село        53°19'       39°01'     N-37-103
0079622   Брусы                   деревня     53°13'       38°59'     N-37-102
0078456   Верхняя Павловка        деревня     53°29'       38°59'     N-37-090
0079618   Вислая                  деревня     53°15'       38°59'     N-37-102
0079610   Вихровка                деревня     53°21'       39°10'     N-37-091
0078451   Воскресенское           село        53°33'       38°51'     N-37-090
0078458   Воскресенское           село        53°12'       38°44'     N-37-102
0079679   Восток                  посёлок     53°24'       39°09'     N-37-091
0079676   Вязовенка               деревня     53°25'       38°46'     N-37-090
0078476   Гагарино                село        53°23'       39°22'     N-37-091
0079694   Головинщино             село        53°19'       38°50'     N-37-102
0078465   Городки                 деревня     53°16'       38°58'     N-37-102
0079693   Греково                 село        53°19'       38°36'     N-37-102
0079677   Гугуевка                деревня     53°25'       38°59'     N-37-090
0079691   Гудино                  деревня     53°14'       38°43'     N-37-102
0079690   Гусевка                 деревня     53°17'       38°38'     N-37-102
0010380   Данков                  город       53°15'       39°08'     N-37-103
0079688   Долгое                  село        53°11'       38°45'     N-37-102
0078478   Долгое                  село        53°27'       39°07'     N-37-091
0078480   Дубки                   село        53°33'       39°01'     N-37-091
0078454   Еропкино                село        53°23'       38°55'     N-37-090
0079695   Жуково                  деревня     53°16'       38°57'     N-37-102
0079678   Заполянский             посёлок     53°22'       39°05'     N-37-091
0078463   Зашево                  деревня     53°11'       38°59'     N-37-102
0079871   Зашевские Выселки       деревня     53°11'       39°04'     N-37-103
